"method","metric","value","mc_se","n_rep"
"GLM","admin_cov80",0.1148,0.01293,24
"GLM","admin_cov95",0.16897,0.01191,24
"GLM","admin_rmse",0.07684,0.00211,24
"GLM","admin_bias",0.00475,0.00165,24
"GLM","admin_post_sd",0.00811,9e-05,24
"GLM","admin_ratio",9.46546,0.22176,24
"GLM","cluster_cov80",0.84108,0.00377,24
"GLM","pixel_cov80",0.12958,0.00405,24
"GLM","elapsed_sec",1.53188,0.06717,24
"GLMM-iCAR","admin_cov80",0.72215,0.02419,24
"GLMM-iCAR","admin_cov95",0.90384,0.01595,24
"GLMM-iCAR","admin_rmse",0.04084,0.00266,24
"GLMM-iCAR","admin_bias",0.00476,0.00165,24
"GLMM-iCAR","admin_post_sd",0.03029,0.00041,24
"GLMM-iCAR","admin_ratio",1.36076,0.09583,24
"GLMM-iCAR","cluster_cov80",0.87367,0.0036,24
"GLMM-iCAR","pixel_cov80",0.26142,0.00483,24
"GLMM-iCAR","elapsed_sec",2.01882,0.05352,24
"GLMM-SPDE","admin_cov80",0.76195,0.01935,24
"GLMM-SPDE","admin_cov95",0.91864,0.01642,24
"GLMM-SPDE","admin_rmse",0.03178,0.00188,24
"GLMM-SPDE","admin_bias",0.00332,0.00148,24
"GLMM-SPDE","admin_post_sd",0.02646,0.00039,24
"GLMM-SPDE","admin_ratio",1.19706,0.06473,24
"GLMM-SPDE","cluster_cov80",0.92475,0.00361,24
"GLMM-SPDE","pixel_cov80",0.50717,0.02149,24
"GLMM-SPDE","elapsed_sec",4.3967,0.12067,24
"Vanilla-BART","admin_cov80",0.29211,0.01215,24
"Vanilla-BART","admin_cov95",0.42796,0.01469,24
"Vanilla-BART","admin_rmse",0.05883,0.00094,24
"Vanilla-BART","admin_bias",0.00528,0.00137,24
"Vanilla-BART","admin_post_sd",0.01807,0.00025,24
"Vanilla-BART","admin_ratio",3.26468,0.06116,24
"Vanilla-BART","cluster_cov80",0.95808,0.00194,24
"Vanilla-BART","pixel_cov80",0.72208,0.00423,24
"Vanilla-BART","elapsed_sec",1.38066,0.02114,24
"BARTSIMP-PG","admin_cov80",0.76206,0.02314,24
"BARTSIMP-PG","admin_cov95",0.94353,0.00971,24
"BARTSIMP-PG","admin_rmse",0.02972,0.00125,24
"BARTSIMP-PG","admin_bias",0.00176,0.00139,24
"BARTSIMP-PG","admin_post_sd",0.02872,0.00036,24
"BARTSIMP-PG","admin_ratio",1.03581,0.04305,24
"BARTSIMP-PG","cluster_cov80",0.99983,0.00012,24
"BARTSIMP-PG","pixel_cov80",0.86883,0.00341,24
"BARTSIMP-PG","elapsed_sec",39.01141,0.39734,24
"BARTSIMP-PG-SD","admin_cov80",0.77654,0.02131,24
"BARTSIMP-PG-SD","admin_cov95",0.94156,0.01028,24
"BARTSIMP-PG-SD","admin_rmse",0.02929,0.00127,24
"BARTSIMP-PG-SD","admin_bias",0.00203,0.00126,24
"BARTSIMP-PG-SD","admin_post_sd",0.02832,0.00034,24
"BARTSIMP-PG-SD","admin_ratio",1.03399,0.04313,24
"BARTSIMP-PG-SD","cluster_cov80",0.99967,0.00016,24
"BARTSIMP-PG-SD","pixel_cov80",0.86633,0.00418,24
"BARTSIMP-PG-SD","elapsed_sec",39.96494,0.37841,24
