"method","rep","d0","admin_cov80","admin_cov95","admin_rmse","admin_bias","admin_post_sd","admin_ratio","cluster_cov80","pixel_cov80","elapsed_sec"
"GLM",1,0,0.1,0.15,0.0935295265042119,0.0147590911013647,0.00800235157605487,11.687755232359,0.816,0.12,2.86318397521973
"GLMM-iCAR",1,0,0.85,0.95,0.0324298390239837,0.0134616443470034,0.0335439356578297,0.966786943392377,0.868,0.27,1.97018098831177
"GLMM-SPDE",1,0,0.75,0.85,0.0382471218064291,0.00734389661772682,0.0257308171225589,1.48643246051043,0.9,0.426,4.49673700332642
"Vanilla-BART",1,0,0.3,0.5,0.0611184147610176,0.0169565391072647,0.0190720797566726,3.20460146668769,0.95,0.732,1.31311988830566
"BARTSIMP-PG",1,0,0.7,0.95,0.0336299542658901,0.0094842349846408,0.0285525965963797,1.17782472611105,1,0.846,39.5349111557007
"BARTSIMP-PG-SD",1,3,0.75,0.85,0.0340952518973649,0.0108348945287844,0.0280089113379618,1.21730014729826,1,0.838,38.9781491756439
"GLM",2,0,0.1,0.15,0.0627570616329805,-0.0106205766334319,0.00761420930282467,8.24209831081204,0.816,0.106,1.36892104148865
"GLMM-iCAR",2,0,0.7,1,0.030859700172723,-0.0110164480506278,0.0282038090147353,1.09416781813407,0.856,0.22,1.82416391372681
"GLMM-SPDE",2,0,0.9,1,0.0224670402532873,-0.0126942313321151,0.0262241106206281,0.856732210228496,0.91,0.544,4.09694290161133
"Vanilla-BART",2,0,0.3,0.4,0.0549487643247955,-0.00954646065549628,0.0168508065132131,3.2608981820371,0.948,0.72,1.35643911361694
"BARTSIMP-PG",2,0,0.75,1,0.0237512165145172,-0.0133326594649483,0.0269679458116527,0.880720269923355,1,0.846,38.9574298858643
"BARTSIMP-PG-SD",2,3,0.8,1,0.0247531229980143,-0.0131477485224057,0.0262723353015632,0.942174447527759,1,0.818,39.0920882225037
"GLM",3,0,0,0.15,0.0670405214447982,0.0123131507855996,0.00814783455311594,8.22801702805321,0.828,0.098,1.31432914733887
"GLMM-iCAR",3,0,0.75,0.8,0.0448204702911003,0.0112405372041201,0.029947591034474,1.49663023778793,0.86,0.23,1.87250018119812
"GLMM-SPDE",3,0,0.75,0.95,0.0311107010587018,0.0107730552573388,0.0257465642623908,1.20834379071489,0.898,0.402,3.86380505561829
"Vanilla-BART",3,0,0.4,0.45,0.0614322487596526,0.0149410846432984,0.0181805988688201,3.37900028502413,0.97,0.726,1.38862490653992
"BARTSIMP-PG",3,0,0.7,0.9,0.0334523917243614,0.00825868467285069,0.0295323755236033,1.13273623036606,1,0.886,36.5363030433655
"BARTSIMP-PG-SD",3,3,0.7,0.9,0.0324266340246917,0.0057020034624577,0.0295428047182173,1.09761528514238,1,0.866,37.1075940132141
"GLM",4,0,0,0.05,0.0805715711817236,0.00770602909266394,0.00919921244220222,8.75852924236146,0.834,0.124,1.30009698867798
"GLMM-iCAR",4,0,0.9,0.95,0.0319774820205316,0.00378120200953457,0.0323566240732229,0.988282397699053,0.87,0.254,1.75759887695312
"GLMM-SPDE",4,0,0.8,0.9,0.025356611539917,0.00144660238211064,0.0259450617792937,0.977319374130519,0.9,0.382,3.83322405815125
"Vanilla-BART",4,0,0.35,0.55,0.0582777048948679,0.0080680719852639,0.0196391991511488,2.96741758390178,0.954,0.718,1.24255108833313
"BARTSIMP-PG",4,0,0.8,0.95,0.0273141689097013,-0.00278662551322272,0.0292893031010602,0.932564657324081,1,0.862,39.3371479511261
"BARTSIMP-PG-SD",4,3,0.9,0.9,0.024688764019775,-0.000822606013557177,0.0291108968512674,0.848093555685147,1,0.854,40.7504048347473
"GLM",5,0,0.15,0.2,0.0821681618962238,0.0101310399722836,0.00840659450801761,9.77425065736876,0.852,0.136,1.43542504310608
"GLMM-iCAR",5,0,0.85,0.95,0.0332264140766323,0.0150330270574185,0.0317229202999285,1.0473945577043,0.884,0.288,2.08455514907837
"GLMM-SPDE",5,0,0.85,0.95,0.0269196361790547,0.00507400719506547,0.0239750298011429,1.12281971711132,0.904,0.346,4.5984480381012
"Vanilla-BART",5,0,0.4,0.4,0.0568744736210124,0.0154033434290969,0.0186240484099644,3.05381903918286,0.966,0.73,1.41831588745117
"BARTSIMP-PG",5,0,0.95,0.95,0.0216689406273858,0.0119986884774397,0.0302118520688374,0.717233110304303,1,0.892,39.4394209384918
"BARTSIMP-PG-SD",5,3,0.95,0.95,0.0200558916449146,0.00975276619951593,0.0286388722103134,0.700303122889459,1,0.888,40.0410330295563
"GLM",6,0,0.1,0.15,0.0723379912096481,0.00411651615586647,0.00841419550807781,8.59713696219705,0.876,0.144,1.32968401908875
"GLMM-iCAR",6,0,0.8,0.95,0.0355368385927747,0.0128708977019487,0.0333859804950941,1.06442399072259,0.898,0.324,1.80672883987427
"GLMM-SPDE",6,0,0.8,0.95,0.0297600554173597,0.0130675364566161,0.0283565819723564,1.04949374527478,0.928,0.522,4.06670808792114
"Vanilla-BART",6,0,0.2,0.5,0.0580570296744057,0.000879000702100337,0.0183360718597506,3.16627411358734,0.95,0.728,1.25257682800293
"BARTSIMP-PG",6,0,0.75,0.95,0.0327859389925893,0.00577899089141718,0.029502186642002,1.11130538866269,1,0.868,39.0972290039062
"BARTSIMP-PG-SD",6,3,0.85,0.9,0.0311276302244454,0.00748121233904785,0.0296932716497962,1.04830584489194,0.998,0.884,39.8398978710175
"GLM",7,0,0.15,0.2,0.0869759344506217,-0.00273291320708626,0.00783491187399888,11.101073738846,0.838,0.088,1.30240893363953
"GLMM-iCAR",7,0,0.7,0.85,0.0461698738057065,-0.00422348756939834,0.0317599402310733,1.453714127602,0.86,0.254,1.79481101036072
"GLMM-SPDE",7,0,0.75,0.9,0.0398471278205405,-0.00519686592680698,0.0300907098623412,1.32423355922253,0.936,0.656,4.06283497810364
"Vanilla-BART",7,0,0.3,0.45,0.0588038357779472,0.00104882441044443,0.0195473156769644,3.00828189147449,0.95,0.754,1.30500197410583
"BARTSIMP-PG",7,0,0.75,0.9,0.0365276734045178,-0.00313117841668441,0.0304980399509848,1.19770560544952,1,0.854,37.032851934433
"BARTSIMP-PG-SD",7,3,0.8,0.9,0.0392117224704632,-0.00193419954902849,0.0298676614613874,1.31284876524919,1,0.874,37.6080629825592
"GLM",8,0,0.05,0.15,0.0758622434047865,0.0045030277782878,0.00769719600631264,9.85582845266902,0.838,0.112,1.29776692390442
"GLMM-iCAR",8,0,0.65,0.75,0.0534680920285343,0.00645571615366476,0.0267536803476487,1.99853221439993,0.846,0.212,2.08424592018127
"GLMM-SPDE",8,0,0.65,0.8,0.0419776731661796,0.00825518415073786,0.0276304991521428,1.51925135101745,0.962,0.666,3.91901278495789
"Vanilla-BART",8,0,0.2,0.35,0.0690576081897357,0.00638183369652197,0.0174084413405059,3.96690357505198,0.966,0.72,1.29660201072693
"BARTSIMP-PG",8,0,0.7,0.8,0.039151186887121,0.0053753148081526,0.0275895568673907,1.41905819927813,1,0.848,37.416188955307
"BARTSIMP-PG-SD",8,3,0.7,0.85,0.0387661701990775,0.00583093012371569,0.027470309291592,1.41120253825984,1,0.862,41.2515630722046
"GLM",9,0,0.105263157894737,0.105263157894737,0.0585284934125944,0.000346351938383808,0.00773043109562881,7.5711810490995,0.852,0.142,1.51967692375183
"GLMM-iCAR",9,0,0.631578947368421,0.842105263157895,0.0361111959315429,-0.00379232861169825,0.0263141133322831,1.37231285263336,0.886,0.276,2.14026308059692
"GLMM-SPDE",9,0,0.736842105263158,0.947368421052632,0.0245514782734857,-0.000783894346197399,0.0240042630885619,1.02279658337791,0.922,0.44,3.75242805480957
"Vanilla-BART",9,0,0.210526315789474,0.421052631578947,0.0476569467927098,-0.00112838976058814,0.0162782870365591,2.92763892697543,0.966,0.726,1.54717588424683
"BARTSIMP-PG",9,0,0.789473684210526,0.894736842105263,0.0251442413475311,-0.00497877333167984,0.0280981636681772,0.894871339083569,0.998,0.864,41.9238770008087
"BARTSIMP-PG-SD",9,3,0.736842105263158,0.947368421052632,0.0227780751013866,-0.00204079525956672,0.0276909868406203,0.822580835868699,0.998,0.864,41.0810101032257
"GLM",10,0,0.15,0.2,0.0683336491938749,0.00093027491868709,0.00788290147397729,8.66859105361841,0.822,0.122,1.37226486206055
"GLMM-iCAR",10,0,0.85,1,0.0231634681671785,-0.000355599258080433,0.0297294691777425,0.779141666764781,0.864,0.246,1.84882807731628
"GLMM-SPDE",10,0,0.85,0.95,0.0221975345376472,-9.94717119799352e-05,0.0255912531890583,0.867387555179904,0.932,0.496,4.32765507698059
"Vanilla-BART",10,0,0.25,0.3,0.0489768519284388,0.00076986705787391,0.0177497922107816,2.75929156504092,0.96,0.71,1.3720760345459
"BARTSIMP-PG",10,0,0.85,1,0.0205843469716259,-0.0028972145043882,0.0269893671434843,0.762683573208396,1,0.896,37.1971728801727
"BARTSIMP-PG-SD",10,3,0.9,0.95,0.0206885903461494,-0.000862551877902423,0.0267572956788753,0.773194368909371,0.998,0.892,37.5134851932526
"GLM",11,0,0.1,0.15,0.0658224748945407,0.00317552013122073,0.00762836695386354,8.62864559251487,0.852,0.11,1.28086614608765
"GLMM-iCAR",11,0,0.9,1,0.0257926985175278,0.0032379663819164,0.0297224618887237,0.867784728401424,0.89,0.282,1.78170394897461
"GLMM-SPDE",11,0,0.85,1,0.0183506612571437,0.00197067079172883,0.0236398876446352,0.776258395682696,0.904,0.398,3.84447288513184
"Vanilla-BART",11,0,0.35,0.4,0.0537321332032401,0.00515237478092765,0.0168409289777427,3.1905682444391,0.964,0.718,1.32749795913696
"BARTSIMP-PG",11,0,0.85,0.95,0.0188392978493594,0.00342933809613838,0.0269211896878187,0.699794402395366,0.998,0.86,37.7736871242523
"BARTSIMP-PG-SD",11,3,0.85,1,0.0189180966269932,0.00256376748922468,0.0271004142888508,0.698074074637901,0.998,0.862,38.4791760444641
"GLM",12,0,0.2,0.2,0.0711635360571818,-0.0114534959136929,0.00807100406886345,8.81718500573163,0.848,0.112,1.78891897201538
"GLMM-iCAR",12,0,0.75,1,0.0328389503424535,-0.00388158000058862,0.0319685733926631,1.02722601784883,0.894,0.258,1.95749592781067
"GLMM-SPDE",12,0,0.8,1,0.0259222789147338,-0.00493479297932062,0.0287665794527842,0.901124826372949,0.942,0.528,4.79376101493835
"Vanilla-BART",12,0,0.25,0.35,0.0573888333885921,-0.00108449137869935,0.0191505229124692,2.99672409212521,0.952,0.738,1.3100528717041
"BARTSIMP-PG",12,0,0.8,1,0.0289395111891393,-0.00155647883772266,0.0301239923421872,0.960679808320459,1,0.874,41.2343130111694
"BARTSIMP-PG-SD",12,3,0.85,0.95,0.0288350562477668,-0.000330635390150718,0.0308420634072602,0.934926300714985,1,0.87,41.7283968925476
"GLM",13,0,0.15,0.3,0.0717546946784319,-0.00602815514613346,0.00727579921926483,9.86210483769813,0.858,0.148,1.51763296127319
"GLMM-iCAR",13,0,0.75,0.95,0.0363947386488622,-0.00780223157363769,0.0290828263647104,1.25141683935589,0.896,0.278,2.53975081443787
