"mode","A","sigma_gp","arm","d0","rep","admin_cov80","admin_cov95","admin_rmse","admin_bias","admin_post_sd","admin_ratio","pixel_cov80"
"scale",5,0.5,"legacy",0,1,0.6,0.6,0.0307409659122292,0.0188075405443373,0.0149762278129057,2.052650794063,0.846
"scale",5,0.5,"SD",3,1,0.6,0.6,0.0305838432699008,0.0192941763499283,0.0151998282613774,2.01211768606715,0.838
"scale",5,0.5,"legacy",0,2,0.6,0.8,0.0176296200896148,-0.0124299646077004,0.0157270021573404,1.12097778796237,0.846
"scale",5,0.5,"SD",3,2,0.8,1,0.0162909815458321,-0.0144308471400345,0.0153537431527505,1.06104299021791,0.818
"scale",5,0.5,"legacy",0,3,0.8,0.8,0.0152545890733202,0.00219047592670461,0.0150272159533482,1.01513075480368,0.886
"scale",5,0.5,"SD",3,3,0.8,0.8,0.0165891069593233,-0.000337426046208955,0.0154266563777096,1.07535337231556,0.866
"scale",5,0.5,"legacy",0,4,1,1,0.0147670480168275,0.00333650778999856,0.0157225993446856,0.939224341541139,0.862
"scale",5,0.5,"SD",3,4,1,1,0.0104059125005718,0.00165757130152968,0.0145879148959994,0.713324184762384,0.854
"scale",5,0.5,"legacy",0,5,1,1,0.0144729653379553,0.012703705909697,0.015384316336043,0.940761033627961,0.892
"scale",5,0.5,"SD",3,5,1,1,0.0123601616698873,0.0106523737993928,0.0151857471062126,0.813931746883273,0.888
"scale",5,0.5,"legacy",0,6,1,1,0.00879308606610114,-0.000583132782659513,0.0144429896937647,0.608813428004956,0.868
"scale",5,0.5,"SD",3,6,1,1,0.0105685374856831,-0.000489407097848893,0.0153002853865342,0.690741199833075,0.884
"scale",5,0.5,"legacy",0,7,0.8,1,0.0105601375050146,-0.00361398224164459,0.0154456028523955,0.683698629696205,0.854
"scale",5,0.5,"SD",3,7,1,1,0.0107712984516963,-0.00284417286193711,0.0154472882203445,0.697293809635157,0.874
"scale",5,0.5,"legacy",0,8,0.4,1,0.0210855670161735,-0.00207890187973085,0.0144765766881472,1.45652991521383,0.848
"scale",5,0.5,"SD",3,8,0.4,0.8,0.0220697408489277,-0.000968383552409734,0.0148986794977803,1.48132194213694,0.862
"scale",5,0.5,"legacy",0,9,0.8,1,0.0115286455488208,0.00275524863952084,0.0142317939042445,0.810062710743901,0.864
"scale",5,0.5,"SD",3,9,0.8,1,0.0106788627019464,0.00441094031780532,0.0151189731313922,0.706321957790469,0.864
