"mode","A","sigma_gp","arm","d0","rep","admin_cov80","admin_cov95","admin_rmse","admin_bias","admin_post_sd","admin_ratio","pixel_cov80"
"adversarial",20,0.5,"legacy",0,1,0.7,0.95,0.0336299542658901,0.0094842349846408,0.0285525965963797,1.17782472611105,0.846
"adversarial",20,0.5,"SD",3,1,0.75,0.85,0.0340952518973649,0.0108348945287844,0.0280089113379618,1.21730014729826,0.838
"adversarial",20,0.5,"legacy",0,2,0.75,1,0.0237512165145172,-0.0133326594649483,0.0269679458116527,0.880720269923355,0.846
"adversarial",20,0.5,"SD",3,2,0.8,1,0.0247531229980143,-0.0131477485224057,0.0262723353015632,0.942174447527759,0.818
"adversarial",20,0.5,"legacy",0,3,0.7,0.9,0.0334523917243614,0.00825868467285069,0.0295323755236033,1.13273623036606,0.886
"adversarial",20,0.5,"SD",3,3,0.7,0.9,0.0324266340246917,0.0057020034624577,0.0295428047182173,1.09761528514238,0.866
"adversarial",20,0.5,"legacy",0,4,0.8,0.95,0.0273141689097013,-0.00278662551322272,0.0292893031010602,0.932564657324081,0.862
"adversarial",20,0.5,"SD",3,4,0.9,0.9,0.024688764019775,-0.000822606013557177,0.0291108968512674,0.848093555685147,0.854
"adversarial",20,0.5,"legacy",0,5,0.95,0.95,0.0216689406273858,0.0119986884774397,0.0302118520688374,0.717233110304303,0.892
"adversarial",20,0.5,"SD",3,5,0.95,0.95,0.0200558916449146,0.00975276619951593,0.0286388722103134,0.700303122889459,0.888
"adversarial",20,0.5,"legacy",0,6,0.75,0.95,0.0327859389925893,0.00577899089141718,0.029502186642002,1.11130538866269,0.868
"adversarial",20,0.5,"SD",3,6,0.85,0.9,0.0311276302244454,0.00748121233904785,0.0296932716497962,1.04830584489194,0.884
"adversarial",20,0.5,"legacy",0,7,0.75,0.9,0.0365276734045178,-0.00313117841668441,0.0304980399509848,1.19770560544952,0.854
"adversarial",20,0.5,"SD",3,7,0.8,0.9,0.0392117224704632,-0.00193419954902849,0.0298676614613874,1.31284876524919,0.874
"adversarial",20,0.5,"legacy",0,8,0.7,0.8,0.039151186887121,0.0053753148081526,0.0275895568673907,1.41905819927813,0.848
"adversarial",20,0.5,"SD",3,8,0.7,0.85,0.0387661701990775,0.00583093012371569,0.027470309291592,1.41120253825984,0.862
"adversarial",20,0.5,"legacy",0,9,0.789473684210526,0.894736842105263,0.0251442413475311,-0.00497877333167984,0.0280981636681772,0.894871339083569,0.864
"adversarial",20,0.5,"SD",3,9,0.736842105263158,0.947368421052632,0.0227780751013866,-0.00204079525956672,0.0276909868406203,0.822580835868699,0.864
"adversarial",20,0.5,"legacy",0,10,0.85,1,0.0205843469716259,-0.0028972145043882,0.0269893671434843,0.762683573208396,0.896
"adversarial",20,0.5,"SD",3,10,0.9,0.95,0.0206885903461494,-0.000862551877902423,0.0267572956788753,0.773194368909371,0.892
"adversarial",20,0.5,"legacy",0,11,0.85,0.95,0.0188392978493594,0.00342933809613838,0.0269211896878187,0.699794402395366,0.86
"adversarial",20,0.5,"SD",3,11,0.85,1,0.0189180966269932,0.00256376748922468,0.0271004142888508,0.698074074637901,0.862
"adversarial",20,0.5,"legacy",0,12,0.8,1,0.0289395111891393,-0.00155647883772266,0.0301239923421872,0.960679808320459,0.874
"adversarial",20,0.5,"SD",3,12,0.85,0.95,0.0288350562477668,-0.000330635390150718,0.0308420634072602,0.934926300714985,0.87
"adversarial",20,1,"legacy",0,1,0.8,0.9,0.0257025510989737,0.00393102390939076,0.028078672951828,0.915376276616393,0.826
