"method","rep","d0","admin_cov80","admin_cov95","admin_rmse","admin_bias","admin_post_sd","admin_ratio","cluster_cov80","pixel_cov80","elapsed_sec"
"GLM",1,0,0.1,0.15,0.0936077386575195,0.0155369941582081,0.00823845698194538,11.3622901548993,0.82,0.124,2.26810908317566
"GLMM-iCAR",1,0,0.8,0.95,0.0315093819297608,0.0123625187141562,0.0332049676462868,0.948935781700254,0.87,0.272,1.55837917327881
"GLMM-SPDE",1,0,0.7,0.85,0.0388784728458869,0.00678218652487244,0.0262194062999606,1.48281286010452,0.9,0.428,3.43509101867676
"Vanilla-BART",1,0,0.3,0.5,0.0611184147610176,0.0169565391072647,0.0190720797566726,3.20460146668769,0.95,0.732,1.20483493804932
"BARTSIMP-PG",1,0,0.7,0.95,0.0336299542658901,0.0094842349846408,0.0285525965963797,1.17782472611105,1,0.846,35.978276014328
"BARTSIMP-PG-SD",1,3,0.75,0.85,0.0340952518973649,0.0108348945287844,0.0280089113379618,1.21730014729826,1,0.838,36.6236939430237
"GLM",2,0,0.1,0.15,0.0626729864879487,-0.0105413779698121,0.00784021790712509,7.99378119720273,0.814,0.1,1.3169481754303
"GLMM-iCAR",2,0,0.7,1,0.0307608285513988,-0.0105350909423366,0.0283419152184532,1.08534756082294,0.848,0.224,1.68451118469238
"GLMM-SPDE",2,0,0.95,1,0.0223317837490174,-0.0127218674959625,0.026155360031872,0.853812898075373,0.91,0.554,3.63882994651794
"Vanilla-BART",2,0,0.3,0.4,0.0549487643247955,-0.00954646065549628,0.0168508065132131,3.2608981820371,0.948,0.72,1.3446569442749
"BARTSIMP-PG",2,0,0.75,1,0.0237512165145172,-0.0133326594649483,0.0269679458116527,0.880720269923355,1,0.846,36.5029420852661
"BARTSIMP-PG-SD",2,3,0.8,1,0.0247531229980143,-0.0131477485224057,0.0262723353015632,0.942174447527759,1,0.818,37.0341241359711
"GLM",3,0,0,0.1,0.0670226317236052,0.0124440217005937,0.00824426448899995,8.12960717272369,0.828,0.098,1.22212386131287
